year,month,day,extended,State,City,latitude,longitude,specificity,vicinity,criteria_1,criteria_2,criteria_3,doubt_terrorism,multiple,success,suicide,Attack Type,Attack Name,Target Type,Target Name,Group Name,guncertain1,Weapon Type,Weapon Name,property,Hostage/Kidnapped,Property Value,Fatalities,Offender Fatalities,Wounded,Date
1992,12,9,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,0,0,1,Assassination,7,Government (Diplomatic),Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1992-12-09
1992,12,17,0,Gedo,Bardera,2.349308,42.280334,1.0,0,1,1,1,0,0,1,0,1,Assassination,15,Religious Figures/Institutions,Al-Ittihaad al-Islami (AIAI),0.0,5,Firearms,0,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1992-12-17
1992,12,23,0,Gedo,Bardera,2.349308,42.280334,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,2,Government (General),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,1.0,0.7280546420440172,2.0,1992-12-23
1994,1,1,0,Bay,Baidoa,3.115641,43.64658,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,1.0,1994-01-01
1994,1,10,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),7,Government (Diplomatic),Unknown,0.0,13,Unknown,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-01-10
1994,1,13,0,Middle Juba,Jilib,0.495342,42.777893,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,5.0,1994-01-13
1994,1,21,0,Hiiraan,Beledweyne,4.73538,45.2024,1.0,0,1,1,0,1,0,1,0,2,Armed Assault,4,Military,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1994-01-21
1994,1,31,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,8.0,0.7280546420440172,24.0,1994-01-31
1994,1,31,0,Bay,Baidoa,3.115641,43.64658,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,12,NGO,Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-01-31
1994,2,1,0,Bay,Baidoa,3.115641,43.64658,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,12,NGO,Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1994-02-01
1994,2,6,1,Banaadir,Mogadishu,2.059819,45.326115,1.0,1,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),12,NGO,Unknown,0.0,13,Unknown,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-02-06
1994,2,6,0,Middle Shebelle,Balcad,2.359127,45.383671,1.0,1,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,1.0,1994-02-06
1994,2,6,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,12,NGO,Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-02-06
1994,2,9,1,Lower Shebelle,Merca,1.716188,44.768864,1.0,0,1,1,1,-9,0,1,0,6,Hostage Taking (Kidnapping),2,Government (General),Mousa Ismail sub-clan,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-02-09
1994,2,10,0,Lower Juba,Bulo Xaaji,-0.630239,41.984516,1.0,0,1,0,1,1,0,1,0,2,Armed Assault,17,Terrorists/Non-State Militia,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,5.0,0.7280546420440172,0.0,1994-02-10
1994,2,11,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,0,0,9,Unknown,7,Government (Diplomatic),Unknown,0.0,13,Unknown,1,0.0,216666.66666666666,2.0,0.7280546420440172,0.0,1994-02-11
1994,2,13,0,Middle Shebelle,Jowhar,2.777264,45.500641,1.0,0,0,1,1,1,0,1,0,6,Hostage Taking (Kidnapping),14,Private Citizens & Property,Unknown,0.0,5,Firearms,0,1.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-02-13
1994,2,13,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1994-02-13
1994,2,23,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,0,1,1,1,0,1,0,1,Assassination,14,Private Citizens & Property,Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,2.0,0.7280546420440172,0.0,1994-02-23
1994,2,24,0,Middle Juba,Saacow,1.639986,42.452335,1.0,0,1,1,1,0,0,0,0,1,Assassination,12,NGO,Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1994-02-24
1994,2,25,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,1,Assassination,14,Private Citizens & Property,Unknown,0.0,5,Firearms,0,0.0,216666.66666666666,3.0,0.7280546420440172,0.0,1994-02-25
1994,2,27,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,0,1,0,1,0,2,Armed Assault,4,Military,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1994-02-27
1994,3,1,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,0,1,0,1,0,2,Armed Assault,4,Military,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1994-03-01
1994,3,1,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,0,1,0,1,0,2,Armed Assault,4,Military,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-03-01
1994,3,4,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,0,0,1,0,3,Bombing/Explosion,7,Government (Diplomatic),Unknown,0.0,6,Explosives,1,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1994-03-04
1994,3,4,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,1.0,0.7280546420440172,0.0,1994-03-04
1994,3,4,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,2.9603626943005183,0.0,2.765963511972634,1994-03-04
1994,3,5,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,1,-9,0,1,0,2,Armed Assault,7,Government (Diplomatic),Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,1.0,1994-03-05
1994,3,8,0,Banaadir,Mogadishu,2.059819,45.326115,1.0,0,1,1,0,1,0,1,0,2,Armed Assault,4,Military,Unknown,0.0,5,Firearms,1,0.0,216666.66666666666,0.0,0.7280546420440172,0.0,1994-03-08
